"dataset","meta_path","epsilon","mu","output","match","sha256","reference"
"dblp_small","A-P-A","0.8","5","result","True","EE92FA3DED8C5A7503136C88DC7C12EF0BD591603DA81ADDA57A3C874BBA4B4A","data/results/pscan_on_fli/dblp_small/APA/result-0.8-5.txt"
"dblp_small","A-P-A","0.8","5","roles","True","A44813181F0664C3D034EA94D76958A2151832391824A720F7B243868B021E12","data/results/pscan_on_fli/dblp_small/APA/roles-0.8-5.txt"
"dblp_small","A-P-A","0.9","2","result","True","EFD7E12291C167D62E85812C222CD971E2977DD7E9A5EF6618BCE767B83E9178","data/results/pscan_on_fli/dblp_small/APA/result-0.9-2.txt"
"dblp_small","A-P-A","0.9","2","roles","True","82A763F9860946DD24E90860ABF5DA58EFB3703E6CF6046F21903F8654FF8801","data/results/pscan_on_fli/dblp_small/APA/roles-0.9-2.txt"
"movies","A-M-D-M-A","0.3","2","result","True","5356C570F0E93D5C0EB5BE945E655C825FCBA2BF490EDCDC12ECB0CF634795AF","data/results/pscan_on_fli/movies/AMDMA/result-0.3-2.txt"
"movies","A-M-D-M-A","0.3","2","roles","True","FC3E09BFE217CD45E2422884F935CC9E1026EF7E9E0B1D39B5E9407B2C9C1995","data/results/pscan_on_fli/movies/AMDMA/roles-0.3-2.txt"
"movies","A-M-D-M-A","0.5","5","result","True","79136850208A4EAD321BD9E448DF6B5328B4CC872DB51B14B7327BBD6DFA6DD2","data/results/pscan_on_fli/movies/AMDMA/result-0.5-5.txt"
"movies","A-M-D-M-A","0.5","5","roles","True","C830DDCA058970A972824224D536135BC3066CC0B5AF8431E1CC6F4B94BDFD0E","data/results/pscan_on_fli/movies/AMDMA/roles-0.5-5.txt"
"movies","A-M-D-M-A","0.7","5","result","True","B3E0463F82AB2DD43F1EB7F690E518167486C7B16EC60F4790E3CD844CC96381","data/results/pscan_on_fli/movies/AMDMA/result-0.7-5.txt"
"movies","A-M-D-M-A","0.7","5","roles","True","5D0A2CFBCED6E389407B7F44F55209676F007A74B247FDBD20E2AEF9B1845C03","data/results/pscan_on_fli/movies/AMDMA/roles-0.7-5.txt"
"movies","A-M-D-M-A","0.9","2","result","True","144CFE413F24E09F736F63ABDD93CE07880E75D25763A6F80962507BAC09F4AC","data/results/pscan_on_fli/movies/AMDMA/result-0.9-2.txt"
"movies","A-M-D-M-A","0.9","2","roles","True","72656D178EC680B77F8657F853F602D1C92CCD0EAF5791EC73752D22F352E013","data/results/pscan_on_fli/movies/AMDMA/roles-0.9-2.txt"
"imdb_legacy","A-M-D-M-A","0.3","2","result","True","D4F1C2BFAF81E7D7D44EB293491B32539C433EBC77D4C59DBFED14199C5CEF5C","experiments/upi_multilayer/validation/imdb_AMDMA/result-0.3-2.txt"
"imdb_legacy","A-M-D-M-A","0.3","2","roles","True","121074C8B6C02D97290D8D6E741C3F5FD71DBE8DBD5C4A98514EFEA9FB092966","experiments/upi_multilayer/validation/imdb_AMDMA/roles-0.3-2.txt"
"imdb_legacy","A-M-D-M-A","0.5","5","result","True","C4397DFEB7AD2F9E5C60918219E5A3F313A12781438339DDD53A99929498D142","experiments/upi_multilayer/validation/imdb_AMDMA/result-0.5-5.txt"
"imdb_legacy","A-M-D-M-A","0.5","5","roles","True","4722DEAD42BC3BB583519E7D31FC83C88E6A84772F4851F5CCD56BA2E7A050DC","experiments/upi_multilayer/validation/imdb_AMDMA/roles-0.5-5.txt"
"imdb_legacy","A-M-D-M-A","0.7","5","result","True","BF9D05C7399FAB83A4ADE916FB44F102AF46A94A01B1C74A3CDAA9E6BCEFCA84","experiments/upi_multilayer/validation/imdb_AMDMA/result-0.7-5.txt"
"imdb_legacy","A-M-D-M-A","0.7","5","roles","True","F321580C6253BDB0FECD7F52AC9660B6472F51E948BEBF519E84F4C52326200E","experiments/upi_multilayer/validation/imdb_AMDMA/roles-0.7-5.txt"
"imdb_legacy","A-M-D-M-A","0.9","2","result","True","24DEBFEEEAE1D8B87C3FA889F9491EE8EF772696EF7A18460C4A1AA2256CDAF2","experiments/upi_multilayer/validation/imdb_AMDMA/result-0.9-2.txt"
"imdb_legacy","A-M-D-M-A","0.9","2","roles","True","C1ADDBE93590E16C6251F7288DBD944E574A676F32EDB243E30B0901600277F6","experiments/upi_multilayer/validation/imdb_AMDMA/roles-0.9-2.txt"
"movies","A-M-A","0.5","5","result","True","D9213E76E51217C5757543A5844AD7CB00B08B70E666B63FE96BD4AAE5CE1C41","experiments/upi_v2/queries/movies_AMA/result-0.5-5.txt"
"movies","A-M-A","0.5","5","roles","True","EF6C67B122169BE17AD71156C1C9309AAD8EBA57A0773DC6928F04C0ACD187BC","experiments/upi_v2/queries/movies_AMA/roles-0.5-5.txt"
"movies","A-M-W-M-A","0.5","5","result","True","021EA7C5DE15A298B53EC70B4169719FB75DB42434DC1FC60C79A27854990059","experiments/upi_v2/queries/movies_AMWMA/result-0.5-5.txt"
"movies","A-M-W-M-A","0.5","5","roles","True","B37C5F820FC34E6F58BB669A70628CBF5114202C73F1AA13AE06ECF70EF7E377","experiments/upi_v2/queries/movies_AMWMA/roles-0.5-5.txt"
